Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,% var.
21/05/2025,2.23,2.23,2.23,2.23,2307,2.23
20/05/2025,2.22,2.24,2.24,2.22,3452,2.22
19/05/2025,2.25,2.25,2.25,2.25,2491,2.25
16/05/2025,2.23,2.22,2.23,2.22,946,2.23
15/05/2025,2.23,2.23,2.23,2.23,517,2.23
14/05/2025,2.21,2.21,2.21,2.2,5423,2.21
13/05/2025,2.18,2.18,2.18,2.18,369,2.18
12/05/2025,2.21,2.2,2.21,2.2,4375,2.21
09/05/2025,2.21,2.24,2.24,2.2,11125,2.21
08/05/2025,2.2,2.24,2.25,2.2,2298,2.2
07/05/2025,2.24,2.21,2.24,2.21,656,2.24
06/05/2025,2.25,2.25,2.25,2.25,1209,2.25
05/05/2025,2.25,2.24,2.25,2.21,3324,2.25
02/05/2025,2.24,2.24,2.24,2.24,384,2.24
30/04/2025,2.24,2.24,2.24,2.24,187,2.24
29/04/2025,2.25,2.25,2.25,2.25,7386,2.25
28/04/2025,2.21,2.21,2.21,2.21,-,2.21
25/04/2025,2.21,2.21,2.21,2.21,-,2.21
24/04/2025,2.21,2.21,2.21,2.21,1078,2.21
23/04/2025,2.21,2.21,2.21,2.21,205,2.21
22/04/2025,2.18,2.18,2.18,2.18,-,2.18
21/04/2025,2.18,2.19,2.2,2.18,1965,2.18
16/04/2025,2.21,2.21,2.21,2.21,239,2.21
15/04/2025,2.21,2.2,2.22,2.2,4377,2.21
14/04/2025,2.23,2.23,2.23,2.23,-,2.23
11/04/2025,2.23,2.23,2.23,2.23,351,2.23
10/04/2025,2.24,2.24,2.24,2.24,1142,2.24
09/04/2025,2.25,2.29,2.29,2.25,2149,2.25
08/04/2025,2.3,2.3,2.3,2.3,-,2.3
07/04/2025,2.3,2.3,2.3,2.3,-,2.3
04/04/2025,2.3,2.3,2.3,2.3,1078,2.3
03/04/2025,2.3,2.3,2.3,2.26,1825,2.3
02/04/2025,2.3,2.36,2.37,2.3,3486,2.3
01/04/2025,2.36,2.39,2.39,2.32,856,2.36
31/03/2025,2.39,2.39,2.39,2.39,-,2.39
28/03/2025,2.39,2.39,2.39,2.39,-,2.39
27/03/2025,2.39,2.39,2.39,2.39,-,2.39
26/03/2025,2.39,2.39,2.39,2.39,440,2.39
25/03/2025,2.38,2.38,2.38,2.38,1917,2.38
24/03/2025,2.39,2.36,2.39,2.36,410,2.39
21/03/2025,2.39,2.39,2.39,2.39,-,2.39
20/03/2025,2.39,2.39,2.39,2.39,1691,2.39
19/03/2025,2.4,2.43,2.43,2.4,679,2.4
18/03/2025,2.43,2.42,2.43,2.42,1254,2.43
14/03/2025,2.43,2.43,2.43,2.43,3557,2.43
13/03/2025,2.43,2.41,2.43,2.41,6512,2.43
12/03/2025,2.38,2.34,2.4,2.34,2650,2.38
11/03/2025,2.27,2.28,2.28,2.27,29236,2.27
10/03/2025,2.28,2.28,2.28,2.28,3007,2.28
07/03/2025,2.34,2.34,2.34,2.34,468,2.34
06/03/2025,2.38,2.38,2.38,2.38,685,2.38
05/03/2025,2.41,2.41,2.41,2.41,-,2.41
04/03/2025,2.41,2.41,2.41,2.41,434,2.41
03/03/2025,2.41,2.41,2.48,2.41,5154,2.41
28/02/2025,2.4,2.33,2.4,2.33,3937,2.4
27/02/2025,2.35,2.35,2.35,2.35,302,2.35
26/02/2025,2.3,2.3,2.3,2.3,492,2.3
25/02/2025,2.29,2.29,2.29,2.29,864,2.29
24/02/2025,2.3,2.29,2.3,2.29,1545,2.3
21/02/2025,2.29,2.22,2.29,2.22,478,2.29
20/02/2025,2.22,2.22,2.24,2.22,10091,2.22
19/02/2025,2.24,2.23,2.24,2.22,8306,2.24
18/02/2025,2.25,2.27,2.27,2.22,32777,2.25
17/02/2025,2.27,2.31,2.32,2.27,1239,2.27
14/02/2025,2.31,2.31,2.31,2.31,385,2.31
13/02/2025,2.35,2.35,2.35,2.35,-,2.35
12/02/2025,2.35,2.35,2.35,2.35,100,2.35
11/02/2025,2.33,2.33,2.33,2.33,980,2.33
10/02/2025,2.35,2.35,2.35,2.35,1467,2.35
07/02/2025,2.33,2.33,2.33,2.33,-,2.33
06/02/2025,2.33,2.33,2.33,2.33,128,2.33
05/02/2025,2.33,2.33,2.33,2.33,433,2.33
04/02/2025,2.33,2.36,2.36,2.33,13933,2.33
31/01/2025,2.43,2.44,2.44,2.42,6483,2.43
30/01/2025,2.44,2.44,2.44,2.43,11803,2.44
29/01/2025,2.48,2.5,2.5,2.48,4882,2.48
28/01/2025,2.49,2.53,2.53,2.49,3355,2.49
27/01/2025,2.46,2.45,2.48,2.45,1558,2.46
24/01/2025,2.43,2.45,2.45,2.43,4458,2.43
23/01/2025,2.48,2.48,2.48,2.48,997,2.48
22/01/2025,2.48,2.55,2.58,2.48,9034,2.48
21/01/2025,2.48,2.6,2.6,2.48,3658,2.48
20/01/2025,2.66,2.66,2.66,2.66,-,2.66
17/01/2025,2.66,2.66,2.66,2.66,919,2.66
16/01/2025,2.66,2.66,2.66,2.66,526,2.66
15/01/2025,2.66,2.66,2.66,2.66,1087,2.66
14/01/2025,2.66,2.66,2.66,2.66,995,2.66
13/01/2025,2.68,2.68,2.68,2.68,-,2.68
10/01/2025,2.68,2.68,2.68,2.68,6803,2.68
09/01/2025,2.6,2.6,2.63,2.6,1832,2.6
08/01/2025,2.55,2.51,2.55,2.51,682,2.55
07/01/2025,2.5,2.56,2.56,2.5,769,2.5
06/01/2025,2.57,2.57,2.57,2.57,1087,2.57
03/01/2025,2.56,2.56,2.56,2.56,1000,2.56
02/01/2025,2.59,2.54,2.59,2.54,1696,2.59
31/12/2024,2.55,2.55,2.55,2.55,996,2.55
30/12/2024,2.58,2.58,2.58,2.58,1805,2.58
27/12/2024,2.59,2.59,2.59,2.59,1024,2.59
26/12/2024,2.56,2.55,2.6,2.55,2910,2.56
24/12/2024,2.59,2.59,2.59,2.59,-,2.59
23/12/2024,2.59,2.59,2.59,2.59,-,2.59
20/12/2024,2.59,2.59,2.59,2.59,476,2.59
