Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,% var.
21/05/2025,9.79,9.85,9.85,9.65,9.79,42584
20/05/2025,9.95,9.97,9.98,9.81,9.95,17780
19/05/2025,9.99,10.09,10.09,9.81,9.99,26316
16/05/2025,10.09,9.91,10.09,9.85,10.09,13871
15/05/2025,9.99,10,10,9.9,9.84,77865
14/05/2025,9.97,9.98,10.1,9.83,9.82,135318
13/05/2025,9.92,10.01,10.01,9.92,9.77,31694
12/05/2025,10.04,10.05,10.2,9.9,9.89,24212
09/05/2025,10.04,10,10.04,9.86,9.89,58835
08/05/2025,9.99,9.99,9.99,9.87,9.84,11971
07/05/2025,9.99,10,10,9.8,9.84,67125
06/05/2025,9.98,10,10,9.84,9.83,41454
05/05/2025,10.04,10.05,10.05,9.81,9.89,73337
02/05/2025,9.97,9.75,9.99,9.75,9.82,18608
30/04/2025,9.91,10.1,10.1,9.82,9.76,304106
29/04/2025,10.1,10,10.1,9.9,9.95,29828
28/04/2025,10.08,10.21,10.3,10.08,9.93,7987
25/04/2025,10.35,10,10.35,9.8,10.19,38667
24/04/2025,9.88,9.9,10.02,9.65,9.73,8491
23/04/2025,10.2,10.14,10.2,9.98,10.05,8389
22/04/2025,10.09,9.55,10.09,9.5,9.94,22207
21/04/2025,9.63,9.53,9.63,9.53,9.49,12624
16/04/2025,9.57,9.75,9.75,9.57,9.43,10469
15/04/2025,9.65,9.53,9.7,9.53,9.51,8077
14/04/2025,9.64,9.77,9.77,9.61,9.5,13677
11/04/2025,9.68,9.78,9.78,9.56,9.53,21144
10/04/2025,9.76,9.77,9.77,9.71,9.61,6646
09/04/2025,9.77,9.79,9.79,9.62,9.62,9548
08/04/2025,9.75,9.8,9.8,9.7,9.6,3748
07/04/2025,9.74,9.8,9.8,9.6,9.59,16731
04/04/2025,9.8,9.88,9.88,9.8,9.65,15655
03/04/2025,9.97,9.99,9.99,9.8,9.82,10335
02/04/2025,9.96,9.97,9.97,9.85,9.81,12469
01/04/2025,9.94,9.98,9.99,9.81,9.79,8678
31/03/2025,9.99,9.98,9.99,9.81,9.84,146271
28/03/2025,9.9,10.05,10.05,9.88,9.75,13798
27/03/2025,9.9,9.95,10.09,9.86,9.75,13715
26/03/2025,10,10.04,10.19,9.71,9.85,91564
25/03/2025,10.08,9.99,10.1,9.63,9.93,88097
24/03/2025,10,9.81,10,9.81,9.85,9749
21/03/2025,10,10.36,10.36,9.51,9.85,75544
20/03/2025,10,10.51,10.51,10,9.85,75107
19/03/2025,10.5,10.65,10.65,10.1,10.34,89807
18/03/2025,10.6,10.9,10.93,10.54,10.44,31445
14/03/2025,10.8,10.85,10.99,10.5,10.64,49754
13/03/2025,10.81,11.19,11.25,10.65,10.65,50477
12/03/2025,11.8,10.7,11.9,10.41,11.62,74420
11/03/2025,10.9,10.73,10.91,10.7,10.74,10451
10/03/2025,11.3,11.11,11.3,10.55,11.13,53592
07/03/2025,11.45,10.14,11.45,10.05,11.28,63643
06/03/2025,10.84,9.96,10.84,9.85,10.54,100146
05/03/2025,9.99,10.03,10.03,9.81,9.72,25611
04/03/2025,9.98,9.86,10.04,9.86,9.71,25458
03/03/2025,10.05,10,10.05,9.72,9.77,116650
28/02/2025,10.2,9.88,10.2,9.5,9.92,328633
27/02/2025,9.91,9.9,10.2,9.9,9.64,53964
26/02/2025,10.1,9.88,10.1,9.7,9.82,91743
25/02/2025,9.83,10.1,10.2,9.83,9.56,55005
24/02/2025,10.2,9.96,10.3,9.73,9.92,46969
21/02/2025,10.1,9.85,10.1,9.73,9.82,92113
20/02/2025,9.86,9.79,9.89,9.61,9.59,75602
19/02/2025,9.77,9.79,9.79,9.7,9.5,5009
18/02/2025,9.7,9.7,9.9,9.67,9.43,45713
17/02/2025,9.89,9.9,9.9,9.68,9.62,90933
14/02/2025,10,9.78,10.05,9.71,9.72,84823
13/02/2025,9.85,9.85,9.89,9.46,9.58,249995
12/02/2025,9.88,9.85,9.89,9.6,9.61,111823
11/02/2025,9.84,9.9,9.9,9.7,9.57,29633
10/02/2025,9.94,9.94,9.98,9.8,9.67,58039
