Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,% var.
21/05/2025,5,5,5,4.97,21919,5
20/05/2025,5,5,5,4.98,38846,4.9097
19/05/2025,4.97,4.97,4.97,4.97,439,4.8802
16/05/2025,5,4.95,5,4.9,50566,4.9097
15/05/2025,4.97,4.97,4.97,4.97,1083,4.8802
14/05/2025,4.97,4.98,4.98,4.96,1981,4.8802
13/05/2025,4.98,4.98,4.99,4.98,6944,4.89
12/05/2025,4.95,4.82,4.95,4.82,82784,4.8606
09/05/2025,4.9,4.9,4.9,4.8,209125,4.8115
08/05/2025,4.9,4.91,4.91,4.8,274191,4.8115
07/05/2025,4.9,4.93,4.93,4.8,1466,4.8115
06/05/2025,4.8,4.81,4.93,4.8,3020387,4.7133
05/05/2025,4.8,4.88,4.9,4.71,332480,4.7133
02/05/2025,4.8,4.83,4.88,4.8,129693,4.7133
30/04/2025,4.74,4.74,4.74,4.74,1893023,4.6544
29/04/2025,4.74,4.73,4.74,4.73,1071,4.6544
28/04/2025,4.74,4.74,4.74,4.71,11536,4.6544
25/04/2025,4.74,4.75,4.75,4.7,21925,4.6544
24/04/2025,4.73,4.75,4.75,4.73,2741,4.6445
23/04/2025,4.75,4.8,4.8,4.73,53921,4.6642
22/04/2025,4.8,4.8,4.83,4.8,2790,4.7133
21/04/2025,4.82,4.81,4.82,4.81,940,4.7329
16/04/2025,4.74,4.74,4.74,4.72,6553,4.6544
15/04/2025,4.71,4.74,4.74,4.71,2868,4.6249
14/04/2025,4.74,4.74,4.75,4.72,52770,4.6544
11/04/2025,4.74,4.79,4.83,4.71,120328,4.6544
10/04/2025,4.79,4.8,4.8,4.79,10867,4.7035
09/04/2025,4.83,4.83,4.83,4.83,-,4.7427
08/04/2025,4.83,4.83,4.83,4.73,41093,4.7427
07/04/2025,4.83,4.85,4.85,4.83,1581,4.7427
04/04/2025,4.87,4.87,4.87,4.87,984,4.782
03/04/2025,4.9,4.88,4.9,4.88,102834,4.8115
02/04/2025,4.88,4.88,4.88,4.88,578,4.7918
01/04/2025,4.91,4.9,4.91,4.9,514813,4.8213
31/03/2025,4.8,4.8,4.8,4.8,182,4.7133
28/03/2025,4.8,4.87,4.9,4.8,3594,4.7133
27/03/2025,4.87,4.87,4.87,4.87,1076,4.782
26/03/2025,4.88,4.89,4.89,4.88,23801,4.7918
25/03/2025,4.88,4.94,4.94,4.88,2298,4.7034
24/03/2025,4.94,4.94,4.94,4.94,3292,4.7613
21/03/2025,4.94,4.86,4.94,4.85,5854,4.7613
20/03/2025,4.86,4.84,4.86,4.84,29304,4.6842
19/03/2025,4.85,4.92,4.92,4.8,21719,4.6745
18/03/2025,4.92,4.95,4.96,4.85,5570,4.742
14/03/2025,4.98,4.98,4.98,4.98,-,4.7998
13/03/2025,4.98,5,5,4.98,2385,4.7998
12/03/2025,4.85,4.91,4.91,4.85,1697,4.6745
11/03/2025,4.92,4.92,4.92,4.92,662,4.742
10/03/2025,4.9,4.98,4.98,4.9,3267,4.7227
07/03/2025,4.99,4.9,4.99,4.89,54945,4.8095
06/03/2025,5,5,5,5,-,4.8191
05/03/2025,5,4.81,5,4.8,8185,4.8191
04/03/2025,4.79,4.81,4.83,4.71,8192,4.6167
03/03/2025,4.8,4.83,4.89,4.8,50286,4.6263
28/02/2025,4.9,4.9,4.9,4.85,2091,4.7227
27/02/2025,4.9,4.89,4.97,4.88,9017,4.7227
26/02/2025,4.99,4.99,4.99,4.99,-,4.8095
25/02/2025,4.99,4.85,4.99,4.85,4160,4.8095
24/02/2025,4.95,4.95,4.95,4.95,960,4.7709
21/02/2025,4.95,4.86,4.95,4.86,1920,4.7709
20/02/2025,4.86,4.95,4.95,4.86,7614,4.6842
19/02/2025,4.96,5.09,5.09,4.95,3502,4.7805
18/02/2025,5,5.24,5.24,4.95,26599,4.8191
17/02/2025,5.14,5.11,5.18,5.1,1796,4.954
14/02/2025,5.01,4.99,5.01,4.99,1162,4.8287
13/02/2025,5.01,5.01,5.01,4.98,3476,4.8287
12/02/2025,4.99,4.98,4.99,4.9,4925,4.8095
11/02/2025,4.98,4.95,4.98,4.95,1255,4.7998
10/02/2025,4.95,4.99,4.99,4.95,2735,4.7709
07/02/2025,4.98,5,5,4.95,154423,4.7998
06/02/2025,5,4.95,5,4.95,6922,4.8191
05/02/2025,4.96,4.96,5.02,4.95,4937,4.7805
04/02/2025,4.95,4.96,5.05,4.95,5489,4.7709
31/01/2025,5.05,5.03,5.06,4.95,2550,4.8673
30/01/2025,5.01,5.01,5.02,4.95,7332,4.8287
29/01/2025,4.99,5.03,5.03,4.95,1482,4.8095
28/01/2025,4.99,4.98,4.99,4.95,1745,4.8095
27/01/2025,4.97,4.89,4.98,4.89,10462,4.7902
24/01/2025,4.92,4.95,4.95,4.85,35208,4.742
23/01/2025,4.93,4.94,4.96,4.92,5376,4.7516
22/01/2025,5,4.98,5.08,4.91,466404,4.8191
21/01/2025,4.91,4.99,4.99,4.91,2413,4.7324
20/01/2025,4.99,4.98,4.99,4.98,1680,4.8095
17/01/2025,4.91,4.9,4.99,4.9,1807,4.7324
16/01/2025,4.92,5.11,5.11,4.86,38358,4.742
15/01/2025,5.01,5.02,5.12,5.01,32002,4.8287
14/01/2025,5.01,5.14,5.14,5.01,57564,4.8287
13/01/2025,5.12,5.39,5.39,5.12,14992,4.9348
10/01/2025,5.4,5.28,5.4,5.2,3408,5.2046
09/01/2025,5.27,5.25,5.27,5.25,787,5.0793
08/01/2025,5.27,5.3,5.4,5.27,6680,5.0793
07/01/2025,5.35,5.25,5.47,5.25,2950,5.1564
06/01/2025,5.36,5.45,5.49,5.36,3111,5.1661
03/01/2025,5.35,5.37,5.45,5.35,1432,5.1564
02/01/2025,5.48,5.39,5.5,5.38,25108,5.2817
31/12/2024,5.5,5.48,5.5,5.37,463026,5.301
30/12/2024,5.5,5.2,5.5,5.2,468295,5.301
27/12/2024,5.23,5.4,5.4,5.2,2477,5.0408
26/12/2024,5.38,5.39,5.39,5.38,1219,5.1853
24/12/2024,5.44,5.44,5.44,5.44,-,5.2432
23/12/2024,5.44,5.17,5.45,5.17,229721,5.2432
20/12/2024,5.07,5.03,5.27,5.03,431293,4.8866
19/12/2024,5.13,5.1,5.13,5.1,23176,4.9444
18/12/2024,5.2,5.29,5.29,5.2,279,5.0119
17/12/2024,5.2,5.14,5.37,5.14,76784,5.0119
16/12/2024,5.15,5.33,5.33,5.15,19131,4.9637
13/12/2024,5.33,5.21,5.33,5.21,4014,5.1372
11/12/2024,5.32,5.32,5.32,5.32,256,5.1275
10/12/2024,5.34,5.25,5.34,5.25,26545,5.1468
09/12/2024,5.22,5.35,5.35,5.22,2583,5.0311
06/12/2024,5.35,5.14,5.35,5.14,81937,5.1564
05/12/2024,5.25,5.25,5.25,5.25,577,5.06
