Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,% var.
21/05/2025,13.07,12.92,13.09,12.9,4402571,13.07
20/05/2025,12.96,12.8,13,12.8,1056913,12.96
19/05/2025,12.9,12.83,12.99,12.75,3838773,12.9
16/05/2025,12.81,12.67,12.84,12.6,2037289,12.81
15/05/2025,12.59,12.75,12.75,12.59,1239188,12.59
14/05/2025,12.66,12.68,12.79,12.53,960519,12.66
13/05/2025,12.69,12.65,12.8,12.49,2081510,12.69
12/05/2025,12.59,12.68,12.75,12.52,713603,12.59
09/05/2025,12.69,12.63,12.9,12.25,2694120,12.69
08/05/2025,12.7,12.3,12.99,12.17,4561430,12.7
07/05/2025,12.3,12.18,12.47,12.12,3173465,12.3
06/05/2025,12.18,12.12,12.37,12,1071994,12.18
05/05/2025,12.39,12.42,12.5,12.25,659905,12.39
02/05/2025,12.3,12.15,12.44,12,1088497,12.3
30/04/2025,12.05,12,12.1,11.86,2912605,12.05
29/04/2025,11.97,12.24,12.24,11.95,831397,11.97
28/04/2025,12.24,12.2,12.25,12.18,922912,12.15
25/04/2025,12.19,12.01,12.2,12.01,935269,12.1
24/04/2025,12.1,11.7,12.2,11.69,1536653,12.01
23/04/2025,11.65,11.8,11.84,11.65,2295476,11.57
22/04/2025,11.74,11.93,12.01,11.73,1914971,11.65
21/04/2025,11.95,11.95,12.15,11.91,1137759,11.86
16/04/2025,12,11.95,12.01,11.88,1105690,11.91
15/04/2025,11.94,12,12,11.89,690188,11.85
14/04/2025,11.92,11.92,12,11.9,1652489,11.83
11/04/2025,11.93,12,12.08,11.9,984767,11.84
10/04/2025,11.99,11.75,12.15,11.75,1765529,11.9
09/04/2025,11.95,11.81,12,11.75,690559,11.86
08/04/2025,11.91,12.1,12.12,11.8,1304457,11.82
07/04/2025,12.11,11.92,12.15,11.8,1097045,12.02
04/04/2025,11.87,12.17,12.2,11.85,1721405,11.78
03/04/2025,12.23,12.02,12.25,11.92,2504304,12.14
02/04/2025,12.03,11.88,12.09,11.88,1717446,11.94
01/04/2025,11.9,11.78,12.12,11.75,6202077,11.81
31/03/2025,11.76,11.94,11.95,11.75,963873,11.67
28/03/2025,11.93,12,12.07,11.84,1858055,11.84
27/03/2025,11.85,11.97,12.09,11.84,2209156,11.76
26/03/2025,11.97,11.91,12,11.85,2993587,11.88
25/03/2025,11.93,11.8,12.1,11.7,1570691,11.84
24/03/2025,11.83,11.85,11.99,11.78,1185680,11.74
21/03/2025,11.85,11.89,12.2,11.8,64187430,11.76
20/03/2025,12.09,11.89,12.2,11.89,9183824,12
19/03/2025,12.13,11.8,12.15,11.8,9551732,12.04
18/03/2025,11.9,11.51,12.25,11.51,9570331,11.81
14/03/2025,11.49,11.26,11.6,11.11,1388651,11.41
13/03/2025,11.28,11,11.31,10.95,5090381,11.2
12/03/2025,11,11.04,11.14,10.95,2368815,10.92
11/03/2025,11,10.84,11.15,10.83,1894660,10.92
10/03/2025,11.05,11.16,11.19,11.03,1771978,10.88
07/03/2025,11.16,11.12,11.3,11.05,1036778,10.99
06/03/2025,11.09,11,11.17,11,1486334,10.92
05/03/2025,10.98,11.18,11.18,10.95,961243,10.82
04/03/2025,11,11.16,11.34,10.93,1651666,10.84
03/03/2025,11.16,11.2,11.34,11.03,2844205,10.99
28/02/2025,11.18,11.1,11.29,10.94,3842451,11.01
27/02/2025,11.07,10.88,11.2,10.8,645066,10.9
26/02/2025,11.02,10.93,11.05,10.83,828841,10.77
25/02/2025,10.93,11.17,11.17,10.86,1276998,10.68
24/02/2025,11.28,10.96,11.35,10.95,1672205,11.02
21/02/2025,11,10.91,11.09,10.9,1598360,10.75
20/02/2025,10.82,10.7,10.9,10.65,14435484,10.57
19/02/2025,10.69,10.72,10.75,10.6,1010718,10.45
18/02/2025,10.7,10.71,10.84,10.67,1217162,10.46
17/02/2025,10.73,10.72,10.79,10.67,462062,10.49
14/02/2025,10.74,10.75,10.8,10.65,660782,10.5
13/02/2025,10.66,10.72,10.85,10.64,986932,10.42
12/02/2025,10.72,10.69,10.75,10.55,1507891,10.48
11/02/2025,10.69,10.79,10.79,10.6,720764,10.45
10/02/2025,10.75,10.85,10.85,10.7,731127,10.51
07/02/2025,10.84,10.57,10.87,10.56,813359,10.59
06/02/2025,10.6,10.64,10.77,10.58,1032968,10.36
05/02/2025,10.68,10.75,10.84,10.64,1056184,10.44
04/02/2025,10.75,10.65,10.78,10.55,8846138,10.51
31/01/2025,10.62,10.66,10.98,10.52,1091087,10.38
30/01/2025,10.67,10.64,10.72,10.52,1625577,10.43
