Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,% var.
21/05/2025,25,25.06,25.06,24.55,3224043,25
20/05/2025,24.99,24.79,25.02,24.69,6204236,24.99
19/05/2025,24.73,24.93,25,24.41,2518381,24.73
16/05/2025,24.83,24.53,25,24.09,6968648,24.83
15/05/2025,24.41,24.55,24.6,23.8,4837910,24.41
14/05/2025,24.55,25.09,25.09,24.37,6346967,24.55
13/05/2025,24.98,24.72,25.09,24.2,11879575,24.98
12/05/2025,24.58,24.9,24.98,24.29,4443905,24.58
09/05/2025,24.98,25.03,25.26,24.87,16928862,24.98
08/05/2025,25.01,25.78,25.88,24.82,7777506,25.01
07/05/2025,25.93,25.44,25.99,25.39,7312914,24.82
06/05/2025,25.76,25.19,25.91,25.15,4323670,24.66
05/05/2025,25.4,25.34,25.55,25,2934118,24.31
02/05/2025,25.39,25.44,25.68,24.88,6228504,24.3
30/04/2025,25.38,25,25.41,24.51,10340555,24.29
29/04/2025,25,25.9,25.9,24.73,9951770,23.93
28/04/2025,25.81,25.79,26.55,25.72,5420526,24.71
25/04/2025,25.54,25.93,26.97,25.09,5834897,24.45
24/04/2025,26,25.5,26.65,25.12,8322277,24.89
23/04/2025,25.5,24.21,25.58,24.21,7571962,24.41
22/04/2025,24.22,24.41,24.5,23.89,5116926,23.18
21/04/2025,24.41,24.16,24.45,24.02,1884301,23.37
16/04/2025,24.19,24.34,24.73,24.1,4526536,23.15
15/04/2025,24.27,24.4,24.6,24.24,6353294,23.23
14/04/2025,24.37,23.39,24.68,23.39,4577713,23.33
11/04/2025,23.23,22.98,23.65,22.65,3019788,22.24
10/04/2025,23.27,23.89,23.99,22.88,9699361,22.27
09/04/2025,24.08,21.81,24.26,21.27,8540706,23.05
08/04/2025,22.04,22.68,22.9,21.83,8868642,21.1
07/04/2025,22.3,23.81,23.89,22.21,10361922,21.35
04/04/2025,24.27,25.37,25.37,24.08,6717597,23.23
03/04/2025,25.25,24.38,26.37,24.26,12447379,24.17
02/04/2025,24.28,24.32,24.39,23.98,6453622,23.24
01/04/2025,24.26,23.96,24.45,23.75,7740172,23.22
31/03/2025,23.9,24.54,24.54,23.7,6062030,22.88
28/03/2025,24.41,24.27,24.66,23.79,6821620,23.37
27/03/2025,24.08,24.35,24.45,24.01,3571242,23.05
26/03/2025,24.2,24.37,24.49,23.89,5747727,23.16
25/03/2025,24.29,23.53,24.43,23.53,8163160,23.25
24/03/2025,23.52,24.13,24.13,23.47,4925602,22.51
21/03/2025,24.11,23.75,24.24,23.61,17456753,23.08
20/03/2025,23.8,23.82,23.94,23.55,6446227,22.78
19/03/2025,23.74,23.62,24.14,23.62,5671802,22.72
18/03/2025,23.61,23.55,24.18,23.37,8029765,22.6
14/03/2025,23.66,22.93,23.77,22.79,7322699,22.65
13/03/2025,22.81,22.89,22.99,22.64,4456957,21.83
12/03/2025,22.88,22.34,22.98,22.34,6123128,21.9
11/03/2025,22.44,21.91,22.6,21.91,7013400,21.48
10/03/2025,21.91,22.76,22.81,21.63,5645512,20.97
07/03/2025,22.9,22.57,22.99,22.3,6479623,21.92
06/03/2025,22.6,22.82,23.15,22.31,6070059,21.63
05/03/2025,22.71,22.7,23.17,22.5,3509537,21.74
04/03/2025,22.48,23,23,22.17,15389779,21.52
03/03/2025,23.16,22.4,23.56,22.4,7905004,22.17
28/02/2025,22.39,22.67,22.75,22.22,23435632,21.43
27/02/2025,22.49,22.35,22.88,22.35,4573295,21.53
26/02/2025,22.36,22.37,22.51,22.01,6931316,21.4
25/02/2025,22.28,22.44,22.44,22.06,4937794,21.33
24/02/2025,22.21,22.19,22.73,21.63,62236459,21.26
21/02/2025,22.3,22.65,22.65,22.12,4581571,21.35
20/02/2025,22.61,22.42,22.72,22.27,6839974,21.64
19/02/2025,22.55,22.74,23.05,22.33,18701981,21.58
18/02/2025,22.82,22.54,23.08,22.43,9221060,21.84
17/02/2025,22.51,22.66,22.7,22.4,1218683,21.55
14/02/2025,22.63,22.09,23.01,22.09,17343400,21.66
13/02/2025,22.2,22,22.6,21.98,31515223,21.25
12/02/2025,22,21.45,22.32,21.45,12692235,21.06
11/02/2025,21.6,22.05,22.05,21.56,17795550,20.68
10/02/2025,21.9,22.35,22.41,21.8,6486625,20.96
07/02/2025,22.14,22,22.25,21.62,22423385,21.19
06/02/2025,22.26,22.6,22.87,22.23,24984506,20.78
05/02/2025,22.38,22.79,22.8,22.19,20848876,20.89
04/02/2025,22.68,21.81,22.94,21.57,29171282,21.17
31/01/2025,21.51,21.8,21.8,21.25,8365238,20.08
30/01/2025,21.61,21.87,22.09,21.5,4803809,20.17
29/01/2025,21.75,21.43,22,21.41,3736388,20.3
28/01/2025,21.54,21.24,21.65,21.15,5916764,20.11
27/01/2025,21.16,21.15,21.4,21.04,1908701,19.75
24/01/2025,21.26,21.4,21.5,21.09,3573299,19.85
23/01/2025,21.3,21.46,21.46,21.07,6304662,19.88
22/01/2025,21.43,20.75,21.54,20.58,7993788,20
21/01/2025,20.69,20.6,21.08,20.58,4423006,19.31
20/01/2025,20.58,20.46,20.69,20.46,1595195,19.21
17/01/2025,20.5,20.6,20.86,20.37,5210544,19.14
16/01/2025,20.61,20.83,20.92,20.39,9296464,19.24
15/01/2025,20.8,20.15,20.86,20.15,5657667,19.42
14/01/2025,20.14,20.3,20.41,20,4308590,18.8
13/01/2025,20.21,20.26,20.32,19.83,7593201,18.87
